Волосовский муниципальный район,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Всего,51412.0,51888.0,51824.0,51923.0,51675.0,51668.0,51778.0,51587.0,50443.0,50211.0
Женщины,27036.0,27232.0,27267.0,27300.0,27083.0,27033.0,27041.0,26864.0,26408.0,26222.0
Мужчины,24376.0,24656.0,24557.0,24623.0,24592.0,24635.0,24737.0,24723.0,24035.0,23989.0
0,,,,,,,,,,
Всего,451.0,491.0,571.0,549.0,464.0,491.0,433.0,411.0,322.0,348.0
Женщины,204.0,230.0,277.0,279.0,217.0,245.0,207.0,195.0,147.0,159.0
Мужчины,247.0,261.0,294.0,270.0,247.0,246.0,226.0,216.0,175.0,189.0
1,,,,,,,,,,
Всего,464.0,466.0,525.0,610.0,565.0,487.0,544.0,466.0,385.0,320.0
Женщины,206.0,211.0,251.0,296.0,289.0,227.0,272.0,227.0,186.0,143.0
Мужчины,258.0,255.0,274.0,314.0,276.0,260.0,272.0,239.0,199.0,177.0
2,,,,,,,,,,
Всего,485.0,475.0,479.0,528.0,618.0,578.0,522.0,552.0,432.0,391.0
Женщины,236.0,211.0,219.0,255.0,307.0,291.0,246.0,279.0,210.0,192.0
Мужчины,249.0,264.0,260.0,273.0,311.0,287.0,276.0,273.0,222.0,199.0
0-2,,,,,,,,,,
Всего,1400.0,1432.0,1575.0,1687.0,1647.0,1556.0,1499.0,1429.0,1139.0,1059.0
Женщины,646.0,652.0,747.0,830.0,813.0,763.0,725.0,701.0,543.0,494.0
Мужчины,754.0,780.0,828.0,857.0,834.0,793.0,774.0,728.0,596.0,565.0
3,,,,,,,,,,
Всего,517.0,497.0,475.0,475.0,527.0,614.0,593.0,531.0,490.0,428.0
Женщины,260.0,242.0,213.0,214.0,249.0,301.0,292.0,245.0,231.0,214.0
Мужчины,257.0,255.0,262.0,261.0,278.0,313.0,301.0,286.0,259.0,214.0
4,,,,,,,,,,
Всего,522.0,524.0,503.0,488.0,474.0,531.0,646.0,602.0,461.0,498.0
Женщины,261.0,262.0,246.0,222.0,213.0,250.0,317.0,300.0,227.0,241.0
Мужчины,261.0,262.0,257.0,266.0,261.0,281.0,329.0,302.0,234.0,257.0
0-4,,,,,,,,,,
Всего,2439.0,2453.0,2553.0,2650.0,2648.0,2701.0,2738.0,2562.0,2090.0,1985.0
Женщины,1167.0,1156.0,1206.0,1266.0,1275.0,1314.0,1334.0,1246.0,1001.0,949.0
Мужчины,1272.0,1297.0,1347.0,1384.0,1373.0,1387.0,1404.0,1316.0,1089.0,1036.0
5,,,,,,,,,,
Всего,539.0,528.0,526.0,500.0,495.0,475.0,531.0,637.0,521.0,465.0
Женщины,264.0,263.0,261.0,239.0,229.0,216.0,250.0,315.0,274.0,232.0
Мужчины,275.0,265.0,265.0,261.0,266.0,259.0,281.0,322.0,247.0,233.0
от 3-5,,,,,,,,,,
Всего,1578.0,1549.0,1504.0,1463.0,1496.0,1620.0,1770.0,1770.0,1472.0,1391.0
Женщины,785.0,767.0,720.0,675.0,691.0,767.0,859.0,860.0,732.0,687.0
Мужчины,793.0,782.0,784.0,788.0,805.0,853.0,911.0,910.0,740.0,704.0
от 5-9,,,,,,,,,,
Всего,,,2689.0,2674.0,2630.0,2588.0,2644.0,2763.0,2826.0,2713.0
Женщины,,,1294.0,1304.0,1281.0,1250.0,1244.0,1284.0,1383.0,1352.0
Мужчины,,,1395.0,1370.0,1349.0,1338.0,1400.0,1479.0,1443.0,1361.0
6,,,,,,,,,,
Всего,533.0,544.0,534.0,526.0,505.0,500.0,502.0,550.0,589.0,533.0
Женщины,251.0,265.0,265.0,264.0,242.0,234.0,228.0,262.0,282.0,282.0
Мужчины,282.0,279.0,269.0,262.0,263.0,266.0,274.0,288.0,307.0,251.0
1-6 лет,,,,,,,,,,
Всего,3060.0,3034.0,3042.0,3127.0,3184.0,3185.0,3338.0,3338.0,2878.0,2635.0
Женщины,1478.0,1454.0,1455.0,1490.0,1529.0,1519.0,1605.0,1628.0,1410.0,1304.0
Мужчины,1582.0,1580.0,1587.0,1637.0,1655.0,1666.0,1733.0,1710.0,1468.0,1331.0
7,,,,,,,,,,
Всего,524.0,538.0,550.0,550.0,537.0,526.0,514.0,508.0,572.0,583.0
Женщины,235.0,253.0,270.0,276.0,269.0,250.0,236.0,229.0,298.0,272.0
Мужчины,289.0,285.0,280.0,274.0,268.0,276.0,278.0,279.0,274.0,311.0
8,,,,,,,,,,
Всего,471.0,533.0,538.0,558.0,541.0,541.0,541.0,526.0,559.0,576.0
Женщины,225.0,239.0,255.0,273.0,273.0,278.0,250.0,233.0,269.0,300.0
Мужчины,246.0,294.0,283.0,285.0,268.0,263.0,291.0,293.0,290.0,276.0
9,,,,,,,,,,
Всего,554.0,476.0,541.0,540.0,552.0,546.0,556.0,542.0,585.0,556.0
Женщины,270.0,227.0,243.0,252.0,268.0,272.0,280.0,245.0,260.0,266.0
Мужчины,284.0,249.0,298.0,288.0,284.0,274.0,276.0,297.0,325.0,290.0
10,,,,,,,,,,
Всего,487.0,559.0,479.0,544.0,530.0,563.0,545.0,562.0,538.0,590.0
Женщины,261.0,271.0,232.0,242.0,248.0,276.0,271.0,285.0,245.0,260.0
Мужчины,226.0,288.0,247.0,302.0,282.0,287.0,274.0,277.0,293.0,330.0
11,,,,,,,,,,
Всего,445.0,490.0,564.0,482.0,551.0,535.0,573.0,551.0,609.0,524.0
Женщины,220.0,262.0,271.0,235.0,248.0,254.0,283.0,275.0,290.0,241.0
Мужчины,225.0,228.0,293.0,247.0,303.0,281.0,290.0,276.0,319.0,283.0
12,,,,,,,,,,
