Всеволожский муниципальный район,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,2019.0,2020.0,2021.0,2022.0,2023.0
Всего,398896.0,438607.0,473514.0,527281.0,554288.0
Женщины,211400.0,233442.0,253238.0,278194.0,293475.0
Мужчины,187496.0,205165.0,220276.0,249087.0,260813.0
0,,,,,
Всего,4960.0,3482.0,3353.0,5081.0,4810.0
Женщины,2466.0,1645.0,1540.0,2511.0,2375.0
Мужчины,2494.0,1837.0,1813.0,2570.0,2435.0
1,,,,,
Всего,5311.0,5834.0,4535.0,4391.0,5951.0
Женщины,2552.0,2858.0,2195.0,2127.0,2928.0
Мужчины,2759.0,2976.0,2340.0,2264.0,3023.0
2,,,,,
Всего,5694.0,6077.0,6728.0,4655.0,5171.0
Женщины,2677.0,2906.0,3292.0,2234.0,2539.0
Мужчины,3017.0,3171.0,3436.0,2421.0,2632.0
0-2,,,,,
Всего,15965.0,15393.0,14616.0,14127.0,15932.0
Женщины,7695.0,7409.0,7027.0,6872.0,7842.0
Мужчины,8270.0,7984.0,7589.0,7255.0,8090.0
3,,,,,
Всего,5688.0,6627.0,6965.0,5274.0,5311.0
Женщины,2773.0,3099.0,3376.0,2508.0,2547.0
Мужчины,2915.0,3528.0,3589.0,2766.0,2764.0
4,,,,,
Всего,5030.0,6333.0,7308.0,4991.0,5620.0
Женщины,2426.0,3105.0,3453.0,2341.0,2679.0
Мужчины,2604.0,3228.0,3855.0,2650.0,2941.0
0-4,,,,,
Всего,26683.0,28353.0,28889.0,24392.0,26863.0
Женщины,12894.0,13613.0,13856.0,11721.0,13068.0
Мужчины,13789.0,14740.0,15033.0,12671.0,13795.0
5,,,,,
Всего,4807.0,5435.0,6843.0,5160.0,5297.0
Женщины,2302.0,2617.0,3342.0,2491.0,2459.0
Мужчины,2505.0,2818.0,3501.0,2669.0,2838.0
от 3-5,,,,,
Всего,15525.0,18395.0,21116.0,15425.0,16228.0
Женщины,7501.0,8821.0,10171.0,7340.0,7685.0
Мужчины,8024.0,9574.0,10945.0,8085.0,8543.0
от 5-9,,,,,
Всего,22462.0,25624.0,29830.0,24616.0,26890.0
Женщины,10803.0,12269.0,14416.0,11940.0,12994.0
Мужчины,11659.0,13355.0,15414.0,12676.0,13896.0
6,,,,,
Всего,4819.0,5426.0,5985.0,5683.0,5519.0
Женщины,2389.0,2573.0,2910.0,2723.0,2720.0
Мужчины,2430.0,2853.0,3075.0,2960.0,2799.0
1-6 лет,,,,,
Всего,31349.0,35732.0,38364.0,30154.0,32869.0
Женщины,15119.0,17158.0,18568.0,14424.0,15872.0
Мужчины,16230.0,18574.0,19796.0,15730.0,16997.0
7,,,,,
Всего,4615.0,5500.0,6207.0,4776.0,6394.0
Женщины,2216.0,2717.0,2953.0,2354.0,3073.0
Мужчины,2399.0,2783.0,3254.0,2422.0,3321.0
8,,,,,
Всего,4136.0,4813.0,5763.0,4473.0,5013.0
Женщины,1929.0,2286.0,2815.0,2165.0,2491.0
Мужчины,2207.0,2527.0,2948.0,2308.0,2522.0
9,,,,,
Всего,4085.0,4450.0,5032.0,4524.0,4667.0
Женщины,1967.0,2076.0,2396.0,2207.0,2251.0
Мужчины,2118.0,2374.0,2636.0,2317.0,2416.0
10,,,,,
Всего,3721.0,4533.0,4770.0,4075.0,4751.0
Женщины,1842.0,2156.0,2256.0,1903.0,2328.0
Мужчины,1879.0,2377.0,2514.0,2172.0,2423.0
11,,,,,
Всего,3439.0,4137.0,4814.0,4967.0,4375.0
Женщины,1669.0,2042.0,2289.0,2404.0,2053.0
Мужчины,1770.0,2095.0,2525.0,2563.0,2322.0
12,,,,,
Всего,3165.0,3760.0,4329.0,4588.0,5147.0
Женщины,1529.0,1836.0,2138.0,2206.0,2507.0
Мужчины,1636.0,1924.0,2191.0,2382.0,2640.0
13,,,,,
Всего,3381.0,3569.0,4000.0,3965.0,4906.0
Женщины,1695.0,1730.0,1954.0,1888.0,2355.0
Мужчины,1686.0,1839.0,2046.0,2077.0,2551.0
8-13 лет,,,,,
Всего,21927.0,25262.0,28708.0,26592.0,28859.0
Женщины,10631.0,12126.0,13848.0,12773.0,13985.0
Мужчины,11296.0,13136.0,14860.0,13819.0,14874.0
14,,,,,
Всего,3209.0,3731.0,3806.0,3458.0,4174.0
