,from_territory_id,to_territory_id,n_people,year
0,3,3138,67,2019
1,4,3138,69,2019
2,5,35,2,2019
3,5,36,1,2019
4,5,42,1,2019
5,5,44,1,2019
6,5,73,1,2019
7,5,111,1,2019
8,5,186,1,2019
9,5,3138,298,2019
10,6,35,1,2019
11,6,3138,138,2019
12,7,35,1,2019
13,7,36,1,2019
14,7,42,1,2019
15,7,44,1,2019
16,7,186,1,2019
17,7,3138,250,2019
18,8,3138,50,2019
19,9,35,1,2019
20,9,3138,133,2019
21,11,3138,47,2019
22,12,3138,76,2019
23,13,3138,43,2019
24,14,3138,39,2019
25,15,35,1,2019
26,15,3138,147,2019
27,16,3138,58,2019
28,17,3138,50,2019
29,19,35,1,2019
30,19,3138,144,2019
31,21,3138,43,2019
32,22,3138,30,2019
33,24,3138,66,2019
34,25,3138,11,2019
35,26,3138,60,2019
36,28,3138,27,2019
37,29,35,2,2019
38,29,36,1,2019
39,29,42,1,2019
40,29,44,1,2019
41,29,73,1,2019
42,29,111,1,2019
43,29,186,1,2019
44,29,3138,317,2019
45,30,3138,45,2019
46,31,3138,21,2019
47,32,3138,44,2019
48,33,3138,37,2019
49,35,29,1,2019
50,35,36,1,2019
51,35,42,1,2019
52,35,44,1,2019
53,35,60,1,2019
54,35,73,1,2019
55,35,111,1,2019
56,35,180,1,2019
57,35,186,1,2019
58,35,3138,359,2019
59,36,5,1,2019
60,36,7,1,2019
61,36,15,1,2019
62,36,29,1,2019
63,36,35,5,2019
64,36,40,1,2019
65,36,42,2,2019
66,36,44,2,2019
67,36,50,1,2019
68,36,51,1,2019
69,36,60,1,2019
70,36,73,1,2019
71,36,103,1,2019
72,36,109,1,2019
73,36,111,1,2019
74,36,117,1,2019
75,36,135,1,2019
76,36,136,1,2019
77,36,149,1,2019
78,36,158,1,2019
79,36,169,1,2019
80,36,180,1,2019
81,36,186,3,2019
82,36,200,1,2019
83,36,3138,816,2019
84,37,35,1,2019
85,37,3138,110,2019
86,38,35,1,2019
87,38,3138,94,2019
88,40,3138,53,2019
89,41,35,1,2019
90,41,3138,93,2019
91,42,35,2,2019
92,42,36,1,2019
93,42,44,1,2019
94,42,186,1,2019
95,42,3138,267,2019
96,44,35,1,2019
97,44,186,1,2019
98,44,3138,152,2019
99,45,3138,37,2019
100,46,3138,66,2019
101,47,3138,73,2019
102,48,35,1,2019
103,48,3138,149,2019
104,49,35,1,2019
105,49,3138,118,2019
106,50,35,1,2019
107,50,36,1,2019
108,50,44,1,2019
109,50,186,1,2019
110,50,3138,212,2019
111,51,3138,78,2019
112,52,3138,59,2019
113,53,3138,53,2019
114,55,35,1,2019
115,55,3138,96,2019
116,56,3138,70,2019
117,57,3138,7,2019
118,58,3138,55,2019
119,59,35,1,2019
120,59,3138,116,2019
121,60,7,1,2019
122,60,29,1,2019
123,60,35,2,2019
124,60,36,1,2019
125,60,42,1,2019
