,from_territory_id,to_territory_id,n_people
0,3,5,1
1,3,6,1
2,3,7,1
3,3,11,1
4,3,29,1
5,3,35,4
6,3,36,2
7,3,39,7
8,3,42,1
9,3,44,2
10,3,47,1
11,3,50,1
12,3,51,1
13,3,60,1
14,3,69,1
15,3,70,1
16,3,73,3
17,3,82,1
18,3,111,1
19,3,117,1
20,3,135,1
21,3,136,1
22,3,158,1
23,3,169,1
24,3,180,1
25,3,186,2
26,3,200,1
27,4,5,1
28,4,29,1
29,4,35,3
30,4,36,1
31,4,39,5
32,4,42,1
33,4,44,1
34,4,50,1
35,4,60,1
36,4,73,2
37,4,111,1
38,4,135,1
39,4,136,1
40,4,158,1
41,4,180,1
42,4,186,1
43,5,3,1
44,5,4,1
45,5,6,2
46,5,7,3
47,5,9,2
48,5,11,2
49,5,12,2
50,5,14,1
51,5,15,2
52,5,16,2
53,5,17,1
54,5,19,2
55,5,26,1
56,5,29,5
57,5,35,16
58,5,36,7
59,5,37,1
60,5,38,1
61,5,39,28
62,5,40,1
63,5,41,1
64,5,42,5
65,5,44,6
66,5,45,1
67,5,46,1
68,5,47,2
69,5,48,2
70,5,49,1
71,5,50,3
72,5,51,3
73,5,52,1
74,5,53,1
75,5,55,1
76,5,56,1
77,5,58,2
78,5,59,2
79,5,60,4
80,5,61,1
81,5,63,1
82,5,64,1
83,5,65,1
84,5,66,1
85,5,68,1
86,5,69,2
87,5,70,2
88,5,71,1
89,5,72,1
90,5,73,10
91,5,74,1
92,5,75,1
93,5,76,1
94,5,77,1
95,5,78,2
96,5,79,2
97,5,80,2
98,5,81,1
99,5,82,3
100,5,83,1
101,5,84,1
102,5,91,2
103,5,96,1
104,5,103,1
105,5,107,1
106,5,109,2
107,5,110,1
108,5,111,4
109,5,112,1
110,5,113,1
111,5,114,1
112,5,115,1
113,5,117,2
114,5,119,1
115,5,123,1
116,5,125,1
117,5,126,2
118,5,127,1
119,5,128,1
120,5,130,1
121,5,131,1
122,5,132,1
123,5,134,1
124,5,135,4
125,5,136,5
126,5,146,1
127,5,149,1
128,5,158,3
129,5,161,1
130,5,167,1
131,5,169,2
132,5,170,1
133,5,171,1
134,5,173,1
135,5,180,4
136,5,185,1
137,5,186,8
138,5,187,1
139,5,190,1
140,5,192,1
141,5,196,1
142,5,197,1
143,5,199,1
144,5,200,2
145,5,202,1
146,6,3,1
147,6,5,2
148,6,7,1
149,6,9,1
150,6,11,1
151,6,12,1
152,6,14,1
153,6,15,1
154,6,16,1
155,6,17,1
156,6,19,1
157,6,29,2
158,6,35,8
159,6,36,4
160,6,37,1
161,6,39,14
162,6,40,1
163,6,42,2
164,6,44,3
165,6,47,1
166,6,48,1
167,6,49,1
168,6,50,1
169,6,51,1
170,6,58,1
171,6,59,1
172,6,60,2
173,6,61,1
174,6,64,1
175,6,69,1
176,6,70,1
177,6,71,1
178,6,73,5
179,6,76,1
180,6,77,1
181,6,78,1
182,6,79,1
183,6,80,1
184,6,82,1
185,6,84,1
186,6,91,1
187,6,103,1
188,6,109,1
189,6,111,2
190,6,113,1
191,6,117,1
192,6,126,1
193,6,128,1
194,6,135,2
195,6,136,2
196,6,149,1
197,6,158,1
198,6,161,1
199,6,169,1
200,6,173,1
201,6,180,2
202,6,185,1
203,6,186,4
204,6,200,1
205,7,3,1
206,7,4,1
207,7,5,3
208,7,6,2
209,7,9,1
210,7,11,2
211,7,12,2
212,7,14,1
213,7,15,2
214,7,16,1
215,7,17,1
216,7,19,1
217,7,26,1
218,7,29,4
219,7,35,14
220,7,36,6
221,7,37,1
222,7,38,1
223,7,39,24
224,7,40,1
225,7,41,1
226,7,42,4
227,7,44,5
228,7,45,1
229,7,46,1
230,7,47,2
231,7,48,1
232,7,49,1
233,7,50,2
234,7,51,2
235,7,52,1
236,7,53,1
237,7,55,1
238,7,56,1
239,7,58,1
240,7,59,1
241,7,60,4
242,7,61,1
243,7,63,1
244,7,64,1
245,7,66,1
246,7,69,2
247,7,70,2
248,7,71,1
249,7,72,1
250,7,73,9
251,7,74,1
252,7,75,1
253,7,76,1
254,7,77,1
255,7,78,2
256,7,79,1
257,7,80,1
258,7,81,1
259,7,82,2
260,7,83,1
261,7,84,1
262,7,91,2
263,7,96,1
264,7,103,1
265,7,109,1
266,7,111,3
267,7,113,1
268,7,114,1
269,7,115,1
270,7,117,2
271,7,119,1
272,7,123,1
273,7,125,1
274,7,126,1
275,7,128,1
276,7,130,1
277,7,131,1
278,7,132,1
279,7,135,4
280,7,136,4
281,7,149,1
282,7,158,2
283,7,161,1
284,7,169,2
285,7,170,1
286,7,173,1
287,7,180,4
288,7,185,1
289,7,186,7
290,7,187,1
291,7,192,1
292,7,197,1
293,7,199,1
294,7,200,2
295,8,5,1
296,8,29,1
297,8,35,3
298,8,36,1
299,8,39,5
300,8,42,1
301,8,44,1
302,8,50,1
303,8,51,1
304,8,60,1
305,8,73,2
306,8,82,1
307,8,111,1
308,8,135,1
309,8,136,1
310,8,158,1
311,8,180,1
312,8,186,2
313,9,3,1
314,9,4,1
315,9,5,2
316,9,6,1
317,9,7,1
318,9,11,1
319,9,12,1
320,9,14,1
321,9,15,1
322,9,16,1
323,9,17,1
324,9,19,1
325,9,29,3
326,9,35,9
327,9,36,4
328,9,37,1
329,9,39,16
330,9,40,1
331,9,41,1
332,9,42,3
333,9,44,3
334,9,45,1
335,9,47,1
336,9,48,1
337,9,49,1
338,9,50,2
339,9,51,2
340,9,52,1
341,9,53,1
342,9,55,1
343,9,58,1
344,9,59,1
345,9,60,2
346,9,61,1
347,9,63,1
348,9,64,1
349,9,69,1
