,vozr,migr,region_name,mun_district,municipality,oktmo,year,in_value,out_value
0,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Бокситогорский муниципальный район,41603000,2019,1970.0,2223.0
1,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Бокситогорский муниципальный район,41603000,2020,1789.0,1897.0
2,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Бокситогорский муниципальный район,41603000,2021,1682.0,2041.0
3,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Бокситогорский муниципальный район,41603000,2022,1759.0,1839.0
4,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Бокситогорское,41603101,2019,697.0,731.0
5,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Бокситогорское,41603101,2021,491.0,768.0
6,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Бокситогорское,41603101,2022,511.0,595.0
7,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Большедворское,41603412,2019,80.0,108.0
8,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Большедворское,41603412,2020,100.0,83.0
9,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Большедворское,41603412,2021,89.0,107.0
10,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Большедворское,41603412,2022,90.0,74.0
11,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Борское,41603416,2019,210.0,245.0
12,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Борское,41603416,2020,210.0,183.0
13,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Борское,41603416,2021,171.0,192.0
14,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Борское,41603416,2022,206.0,203.0
15,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Ефимовское,41603155,2019,176.0,215.0
16,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Ефимовское,41603155,2020,156.0,264.0
17,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Ефимовское,41603155,2021,213.0,249.0
18,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Ефимовское,41603155,2022,231.0,249.0
19,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Климовское,41603434,2019,47.0,56.0
20,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Лидское,41603460,2019,70.0,114.0
21,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Лидское,41603460,2021,89.0,84.0
22,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Лидское,41603460,2022,91.0,86.0
23,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Пикалёвское,41603102,2019,541.0,619.0
24,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Пикалёвское,41603102,2021,519.0,533.0
25,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Пикалёвское,41603102,2022,492.0,521.0
26,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Радогощинское,41603472,2019,20.0,22.0
27,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Самойловское,41603476,2019,129.0,113.0
28,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Самойловское,41603476,2020,123.0,124.0
29,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Самойловское,41603476,2021,110.0,108.0
30,Всего,В пределах России,Ленинградская область,Бокситогорский муниципальный район,Самойловское,41603476,2022,138.0,111.0
31,Всего,В пределах России,Ленинградская область,Волосовский муниципальный район,Бегуницкое,41606404,2019,245.0,207.0
32,Всего,В пределах России,Ленинградская область,Волосовский муниципальный район,Бегуницкое,41606404,2021,338.0,311.0
33,Всего,В пределах России,Ленинградская область,Волосовский муниципальный район,Бегуницкое,41606404,2022,330.0,322.0
34,Всего,В пределах России,Ленинградская область,Волосовский муниципальный район,Беседское,41606406,2019,50.0,52.0
35,Всего,В пределах России,Ленинградская область,Волосовский муниципальный район,Большеврудское,41606412,2019,134.0,119.0
36,Всего,В пределах России,Ленинградская область,Волосовский муниципальный район,Большеврудское,41606412,2020,303.0,319.0
37,Всего,В пределах России,Ленинградская область,Волосовский муниципальный район,Большеврудское,41606412,2021,405.0,338.0
38,Всего,В пределах России,Ленинградская область,Волосовский муниципальный район,Большеврудское,41606412,2022,359.0,384.0
39,Всего,В пределах России,Ленинградская область,Волосовский муниципальный район,Волосовский муниципальный район,41606000,2019,2259.0,2046.0
40,Всего,В пределах России,Ленинградская область,Волосовский муниципальный район,Волосовский муниципальный район,41606000,2020,2024.0,1841.0
41,Всего,В пределах России,Ленинградская область,Волосовский муниципальный район,Волосовский муниципальный район,41606000,2021,2176.0,1979.0
42,Всего,В пределах России,Ленинградская область,Волосовский муниципальный район,Волосовский муниципальный район,41606000,2022,1983.0,1874.0
43,Всего,В пределах России,Ленинградская область,Волосовский муниципальный район,Волосовское,41606101,2019,511.0,496.0
