oktmo,name,year,internat_inflow,internat_outflow,interreg_inflow,interreg_outflow,reg_inflow,reg_outflow,total_inflow,total_outflow
1601000,Алейский муниципальный район,2019,34.0,5.0,172.0,234.0,386.0,596.0,592.0,835.0
1601402,Алейский сельсовет,2019,3.0,3.0,53.0,74.0,31.0,65.0,87.0,142.0
1601432,Кашинский сельсовет,2019,2.0,1.0,8.0,16.0,35.0,34.0,45.0,51.0
1601485,Урюпинский сельсовет,2019,5.0,1.0,3.0,9.0,21.0,26.0,29.0,36.0
1602000,Алтайский муниципальный район,2019,29.0,3.0,457.0,413.0,583.0,501.0,1069.0,917.0
1602407,Алтайский сельсовет,2019,9.0,2.0,226.0,180.0,287.0,225.0,522.0,407.0
1604000,Бийский муниципальный район,2019,99.0,32.0,313.0,435.0,653.0,816.0,1065.0,1283.0
1604410,Большеугреневский сельсовет,2019,2.0,2.0,6.0,19.0,9.0,26.0,17.0,47.0
1604415,Верх-Бехтемирский сельсовет,2019,8.0,2.0,2.0,10.0,25.0,17.0,35.0,29.0
1604417,Верх-Катунский сельсовет,2019,12.0,3.0,43.0,59.0,64.0,92.0,119.0,154.0
1604422,Енисейский сельсовет,2019,9.0,1.0,6.0,15.0,15.0,53.0,30.0,69.0
1604424,Заринский сельсовет,2019,4.0,3.0,18.0,19.0,26.0,42.0,48.0,64.0
1604459,Малоугреневский сельсовет,2019,10.0,4.0,13.0,33.0,75.0,91.0,98.0,128.0
1604470,Первомайский сельсовет,2019,10.0,6.0,51.0,74.0,149.0,152.0,210.0,232.0
1604480,Светлоозёрский сельсовет,2019,1.0,2.0,17.0,24.0,27.0,47.0,45.0,73.0
1604483,Сростинский сельсовет,2019,23.0,1.0,46.0,22.0,45.0,70.0,114.0,93.0
1604488,Усятский сельсовет,2019,10.0,3.0,15.0,27.0,52.0,36.0,77.0,66.0
1604495,Шебалинский сельсовет,2019,4.0,5.0,23.0,36.0,19.0,35.0,46.0,76.0
1605000,Благовещенский муниципальный район,2019,69.0,26.0,308.0,378.0,728.0,818.0,1105.0,1222.0
1605151,Благовещенский поссовет,2019,32.0,12.0,115.0,156.0,291.0,269.0,438.0,437.0
1605157,Степноозёрский поссовет,2019,5.0,1.0,55.0,55.0,137.0,132.0,197.0,188.0
1605420,Гляденьский сельсовет,2019,7.0,2.0,27.0,34.0,51.0,49.0,85.0,85.0
1605436,Леньковский сельсовет,2019,14.0,4.0,45.0,29.0,54.0,82.0,113.0,115.0
