,Int_in,Ext_in,Int_out,Ext_out,territory_id,name,oktmo,year
0,61518,37029,52306.0,27817.0,143070,Белгородская область,14700000,2019
1,36709,17282,36746.0,17319.0,12910,Брянская область,15000000,2019
2,38604,23844,35911.0,21151.0,17533,Владимирская область,17700000,2019
3,85771,50632,76081.0,40942.0,17721,Воронежская область,20600000,2019
4,30819,15282,30003.0,14466.0,13148,Ивановская область,24600000,2019
5,35934,27459,37007.0,28532.0,13315,Калужская область,29700000,2019
6,24190,10636,24496.0,10942.0,14088,Костромская область,34600000,2019
7,45278,25661,40995.0,21378.0,14203,Курская область,38700000,2019
8,40851,22174,39012.0,20335.0,143081,Липецкая область,42000000,2019
9,373563,306375,263365.0,196177.0,5188,Московская область,46000000000,2019
10,19832,10307,20461.0,10936.0,14759,Орловская область,54000000,2019
11,40314,22647,37987.0,20320.0,143100,Рязанская область,61000000,2019
12,36951,21851,37312.0,22212.0,16152,Смоленская область,66000000,2019
13,34749,19891,36524.0,21666.0,16336,Тамбовская область,68500000,2019
14,42760,25222,42106.0,24568.0,17324,Тверская область,28700000,2019
15,47803,29975,48372.0,30544.0,3902,Тульская область,70000000000,2019
16,37705,19461,36682.0,18438.0,18212,Ярославская область,78000000,2019
17,300171,289334,252587.0,241750.0,3268,Москва,45000000000,2019
18,21644,9145,22352.0,9853.0,13368,Республика Карелия,86000000,2019
19,28542,13870,36331.0,21659.0,13910,Республика Коми,87000000,2019
20,42400,17617,45392.0,20609.0,12701,Архангельская область,11000000,2019
21,2477,1276,2400.0,1158.0,14589,Ненецкий автономный округ,71900000,2019
22,28070,11715,30144.0,13789.0,17661,Вологодская область,19700000,2019
23,53270,31263,40301.0,18294.0,13292,Калининградская область,27700000,2019
24,114462,97293,76581.0,59412.0,1,Ленинградская область,41000000000,2019
25,35299,25441,40162.0,30304.0,14552,Мурманская область,4700000,2019
26,24316,12785,23492.0,11961.0,14663,Новгородская область,49700000,2019
27,32140,18173,30405.0,16438.0,15373,Псковская область,58000000,2019
28,224852,163919,210370.0,149437.0,3138,Санкт-Петербург,40000000000,2019
29,24426,20886,14612.0,11072.0,12640,Республика Адыгея,79600000,2019
30,12794,5810,14559.0,7575.0,143093,Республика Калмыкия,85600000,2019
31,49291,31321,40807.0,22837.0,13147,Республика Крым,35700000,2019
32,183794,132290,147842.0,96338.0,4437,Краснодарский край,30000000000,2019
33,22487,14246,30325.0,22084.0,12769,Астраханская область,12000000,2019
34,61380,31889,66064.0,36573.0,3427,Волгоградская область,18000000000,2019
35,119629,63829,106111.0,50311.0,143099,Ростовская область,60000000,2019
36,21399,17026,13970.0,9597.0,16141,Севастополь,3788485,2019
37,47059,27762,53363.0,34066.0,143091,Республика Дагестан,82000000,2019
38,9054,5746,6109.0,2801.0,143092,Республика Ингушетия,26000000,2019
39,12705,9489,13278.0,10062.0,143076,Кабардино-Балкарская республика,83000000,2019
40,11328,6122,12194.0,6988.0,143078,Карачаево-Черкесская республика,91700000,2019
41,10613,8116,14393.0,11896.0,143097,Республика Северная Осетия — Алания,90000000,2019
42,17312,9315,18966.0,10969.0,143109,Чеченская республика,96000000,2019
43,97454,56384,85455.0,44385.0,143103,Ставропольский край,7000000,2019
44,139252,44215,144758.0,49721.0,143089,Республика Башкортостан,80600000,2019
45,24160,11591,23629.0,11060.0,143094,Республика Марий Эл,88000000,2019
46,23828,14343,24599.0,15114.0,143095,Республика Мордовия,89600000,2019
47,90960,35990,86520.0,31550.0,16367,Республика Татарстан,92700000,2019
48,37446,12995,40612.0,16161.0,143105,Удмуртская республика,94000000,2019
49,41477,15913,43482.0,17918.0,143110,Чувашская республика,97000000,2019
50,76555,21042,80318.0,24805.0,15329,Пермский край,57701000,2019
51,48157,15016,50938.0,17797.0,13623,Кировская область,33000000,2019
52,81539,37571,75109.0,31141.0,14611,Нижегородская область,22700000,2019
53,56302,26141,56539.0,26378.0,143085,Оренбургская область,53000000,2019
54,31438,14557,35939.0,19058.0,15010,Пензенская область,56000000,2019
55,80275,43456,71327.0,34508.0,15477,Самарская область,36000000,2019
56,62881,30854,68565.0,36538.0,15811,Саратовская область,63000000,2019
57,25605,14288,28000.0,16683.0,17365,Ульяновская область,73000000,2019
58,29829,14301,32356.0,16828.0,143080,Курганская область,37000000,2019
59,114839,54819,108504.0,48484.0,143102,Свердловская область,65000000,2019
60,169499,104846,154929.0,90276.0,4882,Тюменская область,71000000000,2019
61,73542,51739,73303.0,48020.0,13517,Ханты-Мансийский автономный округ,140296,2019
62,33016,26059,34334.0,25342.0,18198,Ямало-Ненецкий автономный округ,71900000,2019
63,99262,46248,97457.0,44443.0,143108,Челябинская область,75000000,2019
64,13264,5145,12706.0,4587.0,143088,Республика Алтай,84000000,2019
65,11237,5308,11619.0,5690.0,143098,Республика Тыва,93000000,2019
66,20743,10990,21520.0,11767.0,143087,Республика Хакасия,95000000,2019
67,79649,34628,83800.0,38779.0,143068,Алтайский край,1000000,2019
68,119790,51164,122568.0,53942.0,143079,Красноярский край,4000000,2019
69,59050,25360,62325.0,28635.0,143075,Иркутская область,25701000,2019
70,70729,32493,73238.0,35002.0,13473,Кемеровская область,32700000,2019
71,81920,49884,71552.0,39516.0,143084,Новосибирская область,50000000,2019
72,48945,21997,61054.0,34106.0,4013,Омская область,52000000000,2019
73,40788,21596,37525.0,18333.0,143104,Томская область,69000000,2019
74,45387,16117,44350.0,15080.0,143090,Республика Бурятия,81000000,2019
75,42405,17589,42634.0,17818.0,143096,Республика Саха (Якутия),98600000,2019
76,29083,10882,34572.0,16371.0,143073,Забайкальский край,76000000,2019
77,14192,11065,15760.0,12633.0,143077,Камчатский край,30000000,2019
78,80441,34100,79762.0,33421.0,143086,Приморский край,5000000,2019
79,51324,28950,54035.0,31661.0,143106,Хабаровский край,8000000,2019
80,29604,14052,29592.0,14040.0,143069,Амурская область,10500000,2019
81,7921,5442,8662.0,6183.0,143083,Магаданская область,44000000,2019
82,20441,12898,21498.0,13955.0,143101,Сахалинская область,64000000,2019
83,4281,3193,5307.0,4219.0,143072,Еврейская автономная область,99701000,2019
84,6029,4910,5475.0,4356.0,143111,Чукотский автономный округ,77000000,2019
0,50335,31513,46106.0,27284.0,143070,Белгородская область,14700000,2020
1,32817,15744,31544.0,14471.0,12910,Брянская область,15000000,2020
2,29109,18862,30703.0,20456.0,17533,Владимирская область,17700000,2020
3,68370,39985,67504.0,39119.0,17721,Воронежская область,20600000,2020
4,26408,13299,26388.0,13279.0,13148,Ивановская область,24600000,2020
5,39593,30633,32732.0,23772.0,13315,Калужская область,29700000,2020
6,21591,9858,21326.0,9593.0,14088,Костромская область,34600000,2020
7,35056,20834,32126.0,17904.0,14203,Курская область,38700000,2020
8,31690,16818,32029.0,17157.0,143081,Липецкая область,42000000,2020
9,323077,262970,271827.0,211720.0,5188,Московская область,46000000000,2020
10,14536,8385,15573.0,9422.0,14759,Орловская область,54000000,2020
11,34876,19185,34055.0,18364.0,143100,Рязанская область,61000000,2020
12,29571,17357,33860.0,21646.0,16152,Смоленская область,66000000,2020
13,28065,17084,29868.0,18887.0,16336,Тамбовская область,68500000,2020
14,36291,21365,37805.0,22879.0,17324,Тверская область,28700000,2020
15,41204,26329,41390.0,26515.0,3902,Тульская область,70000000000,2020
16,31251,15929,32215.0,16893.0,18212,Ярославская область,78000000,2020
17,227206,223251,225597.0,221642.0,3268,Москва,45000000000,2020
18,17769,8112,17762.0,8105.0,13368,Республика Карелия,86000000,2020
19,27674,13945,30998.0,17269.0,13910,Республика Коми,87000000,2020
20,34546,16162,36600.0,18216.0,12701,Архангельская область,11000000,2020
21,2177,1211,2048.0,1068.0,14589,Ненецкий автономный округ,71900000,2020
22,23325,10340,25292.0,12307.0,17661,Вологодская область,19700000,2020
23,47432,28217,36751.0,17536.0,13292,Калининградская область,27700000,2020
24,102308,86890,70448.0,55030.0,1,Ленинградская область,41000000000,2020
25,29255,21390,33714.0,25849.0,14552,Мурманская область,4700000,2020
26,24590,13105,22661.0,11176.0,14663,Новгородская область,49700000,2020
27,28164,16301,27076.0,15213.0,15373,Псковская область,58000000,2020
28,185085,134685,179825.0,129425.0,3138,Санкт-Петербург,40000000000,2020
29,19763,16491,17900.0,14628.0,12640,Республика Адыгея,79600000,2020
30,10699,5285,11580.0,6166.0,143093,Республика Калмыкия,85600000,2020
31,56049,34812,46109.0,24872.0,13147,Республика Крым,35700000,2020
32,168401,124174,134890.0,90663.0,4437,Краснодарский край,30000000000,2020
33,17852,10305,22975.0,15428.0,12769,Астраханская область,12000000,2020
34,59782,34563,56100.0,30881.0,3427,Волгоградская область,18000000000,2020
35,113066,63668,99825.0,50427.0,143099,Ростовская область,60000000,2020
36,30793,26350,15586.0,11143.0,16141,Севастополь,3788485,2020
37,39067,25219,43586.0,29738.0,143091,Республика Дагестан,82000000,2020
38,7696,4977,5591.0,2872.0,143092,Республика Ингушетия,26000000,2020
39,11204,8691,12080.0,9567.0,143076,Кабардино-Балкарская республика,83000000,2020
40,10934,5599,11170.0,5835.0,143078,Карачаево-Черкесская республика,91700000,2020
41,8022,6212,11320.0,9510.0,143097,Республика Северная Осетия — Алания,90000000,2020
