,name,Int_in,Ext_in,Int_out,Ext_out,center,lat,lon,oktmo,year
0,Брянская область,32817,15744,31544.0,14471.0,Брянск,53.2521,34.3717,15701000,2020
1,Владимирская область,29109,18862,30703.0,20456.0,Владимир,56.1291,40.4069,17701000,2020
2,Воронежская область,68370,39985,67504.0,39119.0,Воронеж,51.672,39.1843,20701000,2020
3,Ивановская область,26408,13299,26388.0,13279.0,Иваново,57.0,40.9739,24701000,2020
4,Калужская область,39593,30633,32732.0,23772.0,Калуга,54.5293,36.2754,29701000,2020
5,Костромская область,21591,9858,21326.0,9593.0,Кострома,57.7679,40.9269,34701000,2020
6,Курская область,35056,20834,32126.0,17904.0,Курск,51.7373,36.1874,38701000,2020
7,Московская область,323077,262970,271827.0,211720.0,Красногорск,55.8316,37.3277,46744000,2020
8,Орловская область,14536,8385,15573.0,9422.0,Орёл,52.9686,36.0694,54701000,2020
9,Смоленская область,29571,17357,33860.0,21646.0,Смоленск,54.7818,32.0401,66701000,2020
10,Тамбовская область,28065,17084,29868.0,18887.0,Тамбов,52.7317,41.4433,68701000,2020
11,Тверская область,36291,21365,37805.0,22879.0,Тверь,56.8587,35.9176,28701000,2020
12,Тульская область,41204,26329,41390.0,26515.0,Тула,54.193,37.6153,70701000,2020
13,Ярославская область,31251,15929,32215.0,16893.0,Ярославль,57.6263,39.8933,78701000,2020
14,Москва,227206,223251,225597.0,221642.0,Москва,55.7522,37.6156,45000000,2020
15,Республика Карелия,17769,8112,17762.0,8105.0,Петрозаводск,61.7849,34.3469,86701000,2020
16,Республика Коми,27674,13945,30998.0,17269.0,Сыктывкар,61.6688,50.836,87701000,2020
17,Архангельская область,34546,16162,36600.0,18216.0,Архангельск,64.5401,40.5433,11701000,2020
18,Ненецкий автономный округ,2177,1211,2048.0,1068.0,Нарьян-Мар,67.6381,53.0069,11851000,2020
19,Вологодская область,23325,10340,25292.0,12307.0,Вологда,59.2239,39.8839,19701000,2020
20,Калининградская область,47432,28217,36751.0,17536.0,Калининград,54.7065,20.5109,27701000,2020
21,Ленинградская область,102308,86890,70448.0,55030.0,Гатчина,59.5709,30.1333,41618000,2020
22,Мурманская область,29255,21390,33714.0,25849.0,Мурманск,68.9792,33.0925,47701000,2020
23,Новгородская область,24590,13105,22661.0,11176.0,Великий Новгород,58.5213,31.2756,49701000,2020
24,Псковская область,28164,16301,27076.0,15213.0,Псков,57.8136,28.3496,58701000,2020
25,Санкт-Петербург,185085,134685,179825.0,129425.0,Санкт-Петербург,59.9386,30.3141,40000000,2020
26,Республика Адыгея,19763,16491,17900.0,14628.0,Майкоп,44.6062,40.1041,79701000,2020
27,Республика Крым,56049,34812,46109.0,24872.0,Симферополь,44.9572,34.1108,35701000,2020
28,Краснодарский край,168401,124174,134890.0,90663.0,Краснодар,45.0355,38.9753,3701000,2020
29,Астраханская область,17852,10305,22975.0,15428.0,Астрахань,46.3497,48.0408,12701000,2020
30,Волгоградская область,59782,34563,56100.0,30881.0,Волгоград,48.7194,44.5018,18701000,2020
31,Севастополь,30793,26350,15586.0,11143.0,Севастополь,44.6166,33.5254,67000000,2020
32,Республика Татарстан,87849,35969,83209.0,31329.0,Казань,55.7887,49.1221,92701000,2020
33,Пермский край,65681,18637,70711.0,23667.0,Пермь,58.0105,56.2502,57701000,2020
34,Кировская область,41712,13467,43249.0,15004.0,Киров,58.6035,49.6668,33701000,2020
35,Нижегородская область,70374,31747,68746.0,30119.0,Нижний Новгород,56.2965,43.9361,22701000,2020
36,Пензенская область,25298,13306,26781.0,14789.0,Пенза,53.1959,45.0246,56701000,2020
37,Самарская область,66355,35392,66268.0,35305.0,Самара,53.1852,50.1191,36701000,2020
38,Саратовская область,53771,28214,58383.0,32826.0,Саратов,51.5406,46.0086,63701000,2020
39,Ульяновская область,23307,13438,24337.0,14468.0,Ульяновск,54.3181,48.3837,73701000,2020
40,Тюменская область,149853,93038,139350.0,82535.0,Тюмень,57.1522,65.5272,71701000,2020
