,from_territory_id,to_territory_id,n_people
0,3,5,1
1,3,7,1
2,3,11,1
3,3,15,1
4,3,16,1
5,3,29,1
6,3,35,4
7,3,36,3
8,3,37,1
9,3,39,5
10,3,40,1
11,3,42,2
12,3,44,4
13,3,48,1
14,3,49,1
15,3,50,1
16,3,51,1
17,3,52,1
18,3,59,1
19,3,60,1
20,3,73,2
21,3,91,1
22,3,103,1
23,3,109,1
24,3,111,1
25,3,117,1
26,3,135,1
27,3,136,1
28,3,158,1
29,3,161,1
30,3,169,1
31,3,180,1
32,3,186,3
33,4,5,1
34,4,7,1
35,4,11,1
36,4,12,1
37,4,15,1
38,4,16,1
39,4,17,1
40,4,29,2
41,4,35,5
42,4,36,3
43,4,37,1
44,4,39,6
45,4,40,1
46,4,42,2
47,4,44,5
48,4,47,1
49,4,48,1
50,4,49,1
51,4,50,1
52,4,51,2
53,4,52,1
54,4,59,1
55,4,60,2
56,4,73,2
57,4,77,1
58,4,80,1
59,4,91,1
60,4,103,1
61,4,109,1
62,4,111,1
63,4,117,1
64,4,135,1
65,4,136,1
66,4,158,1
67,4,161,1
68,4,169,1
69,4,180,1
70,4,186,3
71,4,197,1
72,5,3,1
73,5,4,1
74,5,6,1
75,5,7,2
76,5,9,1
77,5,11,2
78,5,12,1
79,5,14,1
80,5,15,3
81,5,16,2
82,5,17,1
83,5,19,1
84,5,22,1
85,5,26,1
86,5,29,5
87,5,35,15
88,5,36,10
89,5,37,2
90,5,38,1
91,5,39,17
92,5,40,2
93,5,41,1
94,5,42,6
95,5,44,15
96,5,45,1
97,5,46,1
98,5,47,2
99,5,48,2
100,5,49,2
101,5,50,3
102,5,51,4
103,5,52,2
104,5,53,1
105,5,55,1
106,5,56,1
107,5,59,2
108,5,60,5
109,5,61,1
110,5,63,1
111,5,64,1
112,5,65,1
113,5,66,1
114,5,68,1
115,5,69,1
116,5,70,1
117,5,71,1
118,5,72,1
119,5,73,6
120,5,74,1
121,5,75,1
122,5,76,1
123,5,77,1
124,5,78,1
125,5,79,1
126,5,80,1
127,5,82,1
128,5,83,1
129,5,84,1
130,5,91,2
131,5,96,1
132,5,103,2
133,5,109,3
134,5,111,4
135,5,112,1
136,5,113,1
137,5,115,1
138,5,117,2
139,5,118,1
140,5,120,1
141,5,126,1
142,5,128,1
143,5,130,1
144,5,131,1
145,5,134,1
146,5,135,2
147,5,136,3
148,5,137,1
149,5,140,1
150,5,149,1
151,5,158,2
152,5,161,2
153,5,169,4
154,5,170,1
155,5,173,1
156,5,180,4
157,5,185,1
158,5,186,9
159,5,187,1
160,5,192,1
161,5,194,1
162,5,197,1
163,5,200,1
164,6,3,1
165,6,5,2
166,6,7,1
167,6,9,1
168,6,11,1
169,6,12,1
170,6,14,1
171,6,15,2
172,6,16,1
173,6,17,1
174,6,19,1
175,6,29,3
176,6,35,9
177,6,36,6
178,6,37,1
179,6,38,1
180,6,39,10
181,6,40,1
182,6,41,1
183,6,42,4
184,6,44,9
185,6,45,1
186,6,46,1
187,6,47,1
188,6,48,1
189,6,49,1
190,6,50,2
191,6,51,3
192,6,52,1
193,6,53,1
194,6,59,1
195,6,60,3
