,from_territory_id,to_territory_id,n_people
0,2,10.0,34.0
1,2,18.0,35.0
2,2,34.0,292.0
3,2,54.0,49.0
4,2,67.0,108.0
5,2,85.0,15.0
6,2,97.0,6.0
7,2,104.0,35.0
8,2,116.0,16.0
9,2,122.0,62.0
10,2,138.0,13.0
11,2,153.0,15.0
12,2,159.0,27.0
13,2,174.0,19.0
14,2,182.0,6.0
15,2,183.0,40.0
16,2,193.0,22.0
17,2,0.0,1343.0
18,10,2.0,39.0
19,10,18.0,33.0
20,10,34.0,276.0
21,10,54.0,47.0
22,10,67.0,102.0
23,10,85.0,14.0
24,10,97.0,6.0
25,10,104.0,34.0
26,10,116.0,15.0
27,10,122.0,58.0
28,10,138.0,12.0
29,10,153.0,14.0
30,10,159.0,26.0
31,10,174.0,18.0
32,10,182.0,6.0
33,10,183.0,38.0
34,10,193.0,21.0
35,10,0.0,1494.0
36,18,2.0,41.0
37,18,10.0,34.0
38,18,34.0,293.0
39,18,54.0,50.0
40,18,67.0,109.0
41,18,85.0,15.0
42,18,97.0,6.0
43,18,104.0,36.0
44,18,116.0,16.0
45,18,122.0,62.0
46,18,138.0,13.0
47,18,153.0,15.0
48,18,159.0,27.0
49,18,174.0,20.0
50,18,182.0,6.0
51,18,183.0,40.0
52,18,193.0,22.0
53,18,0.0,1354.0
54,34,2.0,224.0
55,34,10.0,188.0
56,34,18.0,193.0
57,34,54.0,271.0
58,34,67.0,593.0
59,34,85.0,80.0
60,34,97.0,34.0
61,34,104.0,195.0
62,34,116.0,86.0
63,34,122.0,339.0
64,34,138.0,70.0
65,34,153.0,84.0
66,34,159.0,150.0
67,34,174.0,107.0
68,34,182.0,32.0
69,34,183.0,221.0
70,34,193.0,120.0
71,34,0.0,22907.0
72,54,2.0,62.0
73,54,10.0,52.0
74,54,18.0,54.0
75,54,34.0,444.0
76,54,67.0,165.0
77,54,85.0,22.0
78,54,97.0,9.0
79,54,104.0,54.0
80,54,116.0,24.0
81,54,122.0,94.0
82,54,138.0,19.0
