,пол
0,Всего
1,Женщины
2,Мужчины
3,0
4,Всего
5,Женщины
6,Мужчины
7,1
8,Всего
9,Женщины
10,Мужчины
11,2
12,Всего
13,Женщины
14,Мужчины
15,0-2
16,Всего
17,Женщины
18,Мужчины
19,3
20,Всего
21,Женщины
22,Мужчины
23,4
24,Всего
25,Женщины
26,Мужчины
27,0-4
28,Всего
29,Женщины
30,Мужчины
31,5
32,Всего
33,Женщины
34,Мужчины
35,от 3-5
36,Всего
37,Женщины
38,Мужчины
39,от 5-9
40,Всего
41,Женщины
42,Мужчины
43,6
44,Всего
45,Женщины
46,Мужчины
47,1-6 лет
48,Всего
49,Женщины
50,Мужчины
51,7
52,Всего
53,Женщины
54,Мужчины
55,8
56,Всего
57,Женщины
58,Мужчины
59,9
60,Всего
61,Женщины
62,Мужчины
63,10
64,Всего
65,Женщины
66,Мужчины
67,11
68,Всего
69,Женщины
70,Мужчины
71,12
72,Всего
73,Женщины
74,Мужчины
75,13
76,Всего
77,Женщины
78,Мужчины
79,8-13 лет
80,Всего
81,Женщины
82,Мужчины
83,14
84,Всего
85,Женщины
86,Мужчины
87,0-14
88,Всего
89,Женщины
90,Мужчины
91,от 10-14
92,Всего
93,Женщины
94,Мужчины
95,14-15
96,Всего
97,Женщины
98,Мужчины
99,15
100,Всего
101,Женщины
102,Мужчины
103,16
104,Всего
105,Женщины
106,Мужчины
107,17
108,Всего
109,Женщины
110,Мужчины
111,5-17
112,Всего
113,Женщины
114,Мужчины
115,5-18 лет
116,Всего
117,Женщины
118,Мужчины
119,0-17
120,Всего
121,Женщины
122,Мужчины
123,16-17
124,Всего
125,Женщины
126,Мужчины
127,18
128,Всего
129,Женщины
130,Мужчины
131,19
132,Всего
133,Женщины
134,Мужчины
135,15-19
136,Всего
137,Женщины
138,Мужчины
139,18-19
140,Всего
141,Женщины
142,Мужчины
143,20
144,Всего
145,Женщины
146,Мужчины
147,21
148,Всего
149,Женщины
150,Мужчины
151,22
152,Всего
153,Женщины
154,Мужчины
155,23
156,Всего
157,Женщины
158,Мужчины
159,24
160,Всего
161,Женщины
162,Мужчины
163,20-24
164,Всего
165,Женщины
166,Мужчины
167,25
168,Всего
169,Женщины
170,Мужчины
171,26
172,Всего
173,Женщины
174,Мужчины
175,27
176,Всего
177,Женщины
178,Мужчины
179,28
180,Всего
181,Женщины
182,Мужчины
183,29
184,Всего
185,Женщины
186,Мужчины
187,25-29
188,Всего
189,Женщины
190,Мужчины
191,16-29
192,Всего
193,Женщины
194,Мужчины
195,30
196,Всего
197,Женщины
198,Мужчины
199,до 30
200,Всего
201,Женщины
202,Мужчины
203,31
204,Всего
205,Женщины
206,Мужчины
207,32
208,Всего
